,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.93,18.42,59.0,54,0,13.87,clear sky
1,Rjukan,NO,59.88,8.59,52.0,99,100,13.0,moderate rain
2,Yellowknife,CA,62.46,-114.35,23.0,92,90,9.17,light snow
3,Itoman,JP,26.12,127.67,82.4,48,20,14.99,few clouds
4,Busselton,AU,-33.65,115.33,60.01,84,100,7.09,light rain
5,Punta Arenas,CL,-53.15,-70.92,48.2,81,0,6.93,clear sky
6,Butaritari,KI,3.07,172.79,81.7,76,100,12.84,overcast clouds
7,Avarua,CK,-21.21,-159.78,75.2,83,100,10.29,light rain
8,Pisco,PE,-13.7,-76.22,62.6,88,0,6.93,clear sky
9,Hwange,ZW,-18.37,26.5,69.91,37,0,5.06,clear sky
10,Ushuaia,AR,-54.8,-68.3,46.4,93,75,4.7,broken clouds
11,Govindgarh,IN,27.5,76.98,73.92,19,0,4.85,clear sky
12,Airai,TL,-8.93,125.41,79.3,37,0,2.77,clear sky
13,Amapa,BR,1.0,-52.0,74.26,91,36,2.53,scattered clouds
14,Makakilo City,US,21.35,-158.09,84.2,51,90,6.93,overcast clouds
15,Bredasdorp,ZA,-34.53,20.04,46.4,93,17,3.36,few clouds
16,Port Alfred,ZA,-33.59,26.89,61.88,81,67,11.32,broken clouds
17,Atuona,PF,-9.8,-139.03,78.17,77,7,17.78,light rain
18,Bahia Blanca,AR,-38.72,-62.27,62.62,39,0,11.97,clear sky
19,Jamestown,US,42.1,-79.24,39.0,74,1,12.75,clear sky
20,Los Llanos De Aridane,ES,28.66,-17.92,75.2,47,0,11.41,clear sky
21,Hithadhoo,MV,-0.6,73.08,83.88,71,100,9.91,light rain
22,Puerto Ayora,EC,-0.74,-90.35,69.01,91,85,4.0,overcast clouds
23,Fergus Falls,US,46.28,-96.08,32.0,68,90,31.09,overcast clouds
24,Barrow,US,71.29,-156.79,24.8,62,90,11.41,overcast clouds
25,Zambezi,ZM,-13.54,23.1,66.76,63,80,4.65,broken clouds
26,Hobart,AU,-42.88,147.33,66.99,62,75,9.17,shower rain
27,Suntar,RU,62.14,117.63,4.1,87,47,3.2,scattered clouds
28,Flagstaff,US,35.2,-111.65,44.01,41,1,3.89,clear sky
