,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Guerrero Negro,27.98,-114.06,62.92,60,3,5.53,MX,2020-10-29 05:35:31
1,Mataura,-46.19,168.86,63.0,70,30,1.99,NZ,2020-10-29 05:35:31
2,Busselton,-33.65,115.33,79.0,25,0,3.51,AU,2020-10-29 05:35:31
3,Hobart,-42.88,147.33,62.6,42,20,12.75,AU,2020-10-29 05:32:07
4,Latur,18.4,76.58,80.38,40,29,5.99,IN,2020-10-29 05:35:31
5,Hermanus,-34.42,19.23,59.0,84,95,3.0,ZA,2020-10-29 05:35:31
6,Bahir Dar,11.59,37.39,66.87,61,0,5.68,ET,2020-10-29 05:35:31
7,New Norfolk,-42.78,147.06,62.6,42,20,12.75,AU,2020-10-29 05:35:32
8,Boyolangu,-8.12,111.89,86.04,64,14,8.37,ID,2020-10-29 05:35:32
9,Atasu,48.68,71.64,33.62,82,100,11.05,KZ,2020-10-29 05:35:32
10,Cabo San Lucas,22.89,-109.91,72.0,59,54,1.01,MX,2020-10-29 05:35:32
11,Ushuaia,-54.8,-68.3,42.8,81,90,29.97,AR,2020-10-29 05:35:32
12,Kaitangata,-46.28,169.85,53.01,87,89,15.01,NZ,2020-10-29 05:35:32
13,Porto Novo,6.5,2.6,78.8,94,40,3.36,BJ,2020-10-29 05:35:33
14,Erzin,36.96,36.2,69.01,79,3,4.0,TR,2020-10-29 05:35:33
15,Barrow,71.29,-156.79,21.2,85,90,11.41,US,2020-10-29 05:35:33
16,Pareora,-44.49,171.21,55.99,86,97,4.0,NZ,2020-10-29 05:35:33
17,Albany,42.6,-73.97,45.0,100,98,4.38,US,2020-10-29 05:34:39
18,Gorontalo,0.54,123.06,84.74,70,100,2.86,ID,2020-10-29 05:31:13
19,Cape Town,-33.93,18.42,60.01,93,75,8.05,ZA,2020-10-29 05:34:48
20,Vanimo,-2.67,141.3,85.12,74,90,10.71,PG,2020-10-29 05:35:33
21,Ukwa,21.97,80.47,83.89,35,50,2.86,IN,2020-10-29 05:35:33
22,Saskylakh,71.92,114.08,0.3,89,76,5.77,RU,2020-10-29 05:35:33
23,Rikitea,-23.12,-134.97,74.77,81,99,9.89,PF,2020-10-29 05:35:34
24,Port Alfred,-33.59,26.89,67.51,82,99,9.26,ZA,2020-10-29 05:35:34
25,Bluff,-46.6,168.33,63.0,70,33,1.99,NZ,2020-10-29 05:35:34
26,Jamestown,42.1,-79.24,42.01,93,1,5.82,US,2020-10-29 05:35:34
27,La Ronge,55.1,-105.28,26.6,86,89,6.93,CA,2020-10-29 05:35:34
28,Mar Del Plata,-38.0,-57.56,51.01,81,0,10.29,AR,2020-10-29 05:35:34
29,Tongzi,28.78,105.09,69.75,56,42,3.2,CN,2020-10-29 05:35:34
30,Punta Arenas,-53.15,-70.92,46.4,65,40,40.26,CL,2020-10-29 05:35:21
31,Dueville,45.63,11.55,51.01,92,98,1.68,IT,2020-10-29 05:35:34
32,Ponta Do Sol,32.67,-17.1,68.0,72,40,8.05,PT,2020-10-29 05:35:34
33,Saint-Philippe,-21.36,55.77,75.2,73,75,23.04,RE,2020-10-29 05:35:34
34,Georgetown,5.41,100.34,86.0,79,20,5.82,MY,2020-10-29 05:35:34
35,Ribeira Grande,38.52,-28.7,68.2,87,80,22.68,PT,2020-10-29 05:35:35
36,Dikson,73.51,80.55,3.6,86,4,19.17,RU,2020-10-29 05:35:35
37,Sept-Iles,50.2,-66.38,32.0,100,90,9.17,CA,2020-10-29 05:33:34
38,Puerto Ayora,-0.74,-90.35,66.99,96,70,1.99,EC,2020-10-29 05:35:35
39,Vao,-22.67,167.48,72.97,79,0,15.7,NC,2020-10-29 05:35:35
40,Tautira,-17.73,-149.15,78.8,74,75,9.17,PF,2020-10-29 05:35:35
41,Latung,5.5,120.88,84.34,74,11,11.18,PH,2020-10-29 05:35:35
